run	request_id	opcode	peer	batch_size	data_bytes	status	request_queue_us	metadata_prepare_us	taskworker_prepare_us	poller_queue_us	data_transfer_us	metadata_settle_us	response_slot_wait_us	response_submit_us	response_transfer_us	data_tm_to_hixl_execute_async_us	data_tm_to_hixl_query_handle_us	response_tm_to_hixl_execute_async_us	response_tm_to_hixl_query_handle_us	total_us
stress_b32_run01	53	2	127.0.0.1:4501	108	7962624	SUCCESS	3821	16	178	2381	3842	15	1	117	3413	16	6	6	109	11387
stress_b32_run01	32	2	127.0.0.1:4502	108	7962624	SUCCESS	3998	15	282	2098	3863	22	0	245	3056	17	96	114	13	11466
stress_b32_run01	33	2	127.0.0.1:4502	108	7962624	SUCCESS	4280	40	306	1790	3995	21	1	212	2746	16	94	92	12	11559
stress_b32_run01	34	2	127.0.0.1:4502	108	7962624	SUCCESS	4586	38	282	1507	4117	21	1	215	2418	16	98	98	12	11639
stress_b32_run01	35	2	127.0.0.1:4502	108	7962624	SUCCESS	4867	40	253	1253	4280	22	1	210	2095	20	101	13	12	11727
stress_b32_run01	36	2	127.0.0.1:4502	108	7962624	SUCCESS	5118	38	220	1033	4368	23	0	156	2039	16	14	13	111	11923
stress_b32_run01	37	2	127.0.0.1:4502	108	7962624	SUCCESS	5337	41	220	812	4403	24	1	147	1971	16	12	12	101	12103
stress_b32_run01	38	2	127.0.0.1:4502	108	7962624	SUCCESS	5556	38	244	567	4406	25	0	147	1938	17	12	13	130	12314
stress_b32_run01	39	2	127.0.0.1:4502	108	7962624	SUCCESS	5800	35	276	289	4431	22	1	190	1789	16	13	13	106	12509
stress_b32_run01	40	2	127.0.0.1:4502	108	7962624	SUCCESS	6076	34	275	12	4443	24	1	185	1704	17	12	14	106	12707
stress_b32_run01	41	2	127.0.0.1:4502	108	7962624	SUCCESS	6350	34	248	4403	6288	22	1	204	3950	16	95	86	14	17061
stress_b32_run01	42	2	127.0.0.1:4502	108	7962624	SUCCESS	6597	13	238	4165	6460	22	1	211	3612	16	108	97	11	17140
stress_b32_run01	43	2	127.0.0.1:4502	108	7962624	SUCCESS	6834	13	232	3932	6531	8	0	132	3477	17	14	12	12	17214
stress_b32_run01	44	2	127.0.0.1:4502	108	7962624	SUCCESS	7066	13	237	3693	6500	7	0	128	3353	18	12	12	12	17291
stress_b32_run01	45	2	127.0.0.1:4502	108	7962624	SUCCESS	7303	16	273	3418	6429	7	0	133	3216	18	12	12	11	17361
stress_b32_run01	46	2	127.0.0.1:4502	108	7962624	SUCCESS	7577	35	273	3144	6362	7	0	129	3087	17	13	12	11	17434
stress_b32_run01	47	2	127.0.0.1:4502	108	7962624	SUCCESS	7849	36	223	2919	6344	7	1	130	2952	16	12	12	11	17506
stress_b32_run01	48	2	127.0.0.1:4502	108	7962624	SUCCESS	8071	13	200	2718	6349	7	0	127	2824	16	12	12	11	17577
stress_b32_run01	49	2	127.0.0.1:4502	108	7962624	SUCCESS	8270	36	232	2485	6323	7	1	125	2689	43	12	13	12	17646
stress_b32_run01	50	2	127.0.0.1:4502	108	7962624	SUCCESS	8501	14	181	2303	6349	7	1	129	2550	18	12	12	11	17716
stress_b32_run01	51	2	127.0.0.1:4502	108	7962624	SUCCESS	8680	35	233	2070	6331	7	1	157	2380	40	13	17	11	17788
stress_b32_run01	52	2	127.0.0.1:4502	108	7962624	SUCCESS	8911	15	181	1888	6389	7	0	142	2228	15	13	12	12	17857
stress_b32_run01	53	2	127.0.0.1:4502	108	7962624	SUCCESS	9091	35	222	1665	6390	7	0	128	2089	35	13	13	11	17926
stress_b32_run01	54	2	127.0.0.1:4501	108	7962624	SUCCESS	9312	16	287	1377	6286	7	0	111	1974	11	9	5	7	17977
stress_b32_run01	55	2	127.0.0.1:4501	108	7962624	SUCCESS	9598	35	209	1167	6245	7	1	120	1842	10	6	5	5	18022
stress_b32_run01	56	2	127.0.0.1:4501	108	7962624	SUCCESS	9807	36	213	953	6205	7	1	99	1740	21	7	6	5	18072
stress_b32_run01	57	2	127.0.0.1:4501	108	7962624	SUCCESS	10019	33	186	765	6174	7	1	100	1634	9	7	6	6	18120
stress_b32_run01	58	2	127.0.0.1:4501	108	7962624	SUCCESS	10194	36	252	512	6076	7	0	99	1525	10	6	5	6	18152
stress_b32_run01	59	2	127.0.0.1:4501	108	7962624	SUCCESS	10440	13	233	279	5992	7	1	97	1423	8	6	5	6	18192
stress_b32_run01	60	2	127.0.0.1:4501	108	7962624	SUCCESS	10662	34	245	33	5900	7	0	105	1313	10	6	5	5	18230
stress_b32_run01	61	2	127.0.0.1:4501	108	7962624	SUCCESS	10899	36	205	5804	7165	7	0	101	2427	23	5	6	8	20804
stress_b32_run01	62	2	127.0.0.1:4501	108	7962624	SUCCESS	11096	13	152	5651	7164	7	0	99	2327	10	6	6	5	20844
stress_b32_run01	63	2	127.0.0.1:4501	108	7962624	SUCCESS	11248	13	166	5484	7147	7	0	102	2222	8	6	6	6	20891
stress_b32_run01	64	2	127.0.0.1:4501	108	7962624	SUCCESS	11405	13	165	5318	7131	7	0	98	2125	9	6	5	7	20930
stress_b32_run01	54	2	127.0.0.1:4502	108	7962624	SUCCESS	11561	12	199	5118	7109	7	0	142	1984	15	13	11	12	21000
stress_b32_run01	55	2	127.0.0.1:4502	108	7962624	SUCCESS	11752	12	184	4934	7141	7	1	140	1840	15	12	12	12	21064
stress_b32_run01	56	2	127.0.0.1:4502	108	7962624	SUCCESS	11927	15	209	4724	7153	7	0	153	1672	17	14	13	12	21120
stress_b32_run01	57	2	127.0.0.1:4502	108	7962624	SUCCESS	12128	12	198	4524	7184	7	0	127	1543	18	13	13	12	21186
stress_b32_run01	58	2	127.0.0.1:4502	108	7962624	SUCCESS	12317	12	191	4332	7207	7	1	127	1404	17	13	12	11	21254
