bucket	run	request_id	opcode	peer	stage	value_us
ge_1000	stress_b32_run01	25	2	127.0.0.1:4501	request_queue_us	8313
near_1000_800_999	stress_b32_run01	25	2	127.0.0.1:4501	poller_queue_us	832
ge_1000	stress_b32_run01	25	2	127.0.0.1:4501	data_transfer_us	6240
ge_1000	stress_b32_run01	25	2	127.0.0.1:4501	response_transfer_us	1411
ge_1000	stress_b32_run01	25	2	127.0.0.1:4501	total_us	16264
ge_1000	stress_b32_run01	26	2	127.0.0.1:4501	request_queue_us	8504
around_500_400_799	stress_b32_run01	26	2	127.0.0.1:4501	poller_queue_us	631
ge_1000	stress_b32_run01	26	2	127.0.0.1:4501	data_transfer_us	6183
ge_1000	stress_b32_run01	26	2	127.0.0.1:4501	response_transfer_us	1315
ge_1000	stress_b32_run01	26	2	127.0.0.1:4501	total_us	16301
ge_1000	stress_b32_run01	27	2	127.0.0.1:4501	request_queue_us	8700
around_500_400_799	stress_b32_run01	27	2	127.0.0.1:4501	poller_queue_us	443
ge_1000	stress_b32_run01	27	2	127.0.0.1:4501	data_transfer_us	6135
ge_1000	stress_b32_run01	27	2	127.0.0.1:4501	response_transfer_us	1221
ge_1000	stress_b32_run01	27	2	127.0.0.1:4501	total_us	16344
ge_1000	stress_b32_run01	28	2	127.0.0.1:4501	request_queue_us	8881
ge_1000	stress_b32_run01	28	2	127.0.0.1:4501	data_transfer_us	6049
ge_1000	stress_b32_run01	28	2	127.0.0.1:4501	response_transfer_us	1112
ge_1000	stress_b32_run01	28	2	127.0.0.1:4501	total_us	16376
ge_1000	stress_b32_run01	29	2	127.0.0.1:4501	request_queue_us	9109
ge_1000	stress_b32_run01	29	2	127.0.0.1:4501	poller_queue_us	5938
ge_1000	stress_b32_run01	29	2	127.0.0.1:4501	data_transfer_us	7093
around_500_400_799	stress_b32_run01	29	2	127.0.0.1:4501	response_transfer_us	477
ge_1000	stress_b32_run01	29	2	127.0.0.1:4501	total_us	16999
ge_1000	stress_b32_run01	30	2	127.0.0.1:4501	request_queue_us	9317
ge_1000	stress_b32_run01	30	2	127.0.0.1:4501	poller_queue_us	5756
ge_1000	stress_b32_run01	30	2	127.0.0.1:4501	data_transfer_us	7064
ge_1000	stress_b32_run01	30	2	127.0.0.1:4501	total_us	17039
ge_1000	stress_b32_run01	31	2	127.0.0.1:4501	request_queue_us	9492
ge_1000	stress_b32_run01	31	2	127.0.0.1:4501	poller_queue_us	5582
ge_1000	stress_b32_run01	31	2	127.0.0.1:4501	data_transfer_us	7037
ge_1000	stress_b32_run01	31	2	127.0.0.1:4501	total_us	17074
ge_1000	stress_b32_run01	32	2	127.0.0.1:4501	request_queue_us	9658
ge_1000	stress_b32_run01	32	2	127.0.0.1:4501	poller_queue_us	5412
ge_1000	stress_b32_run01	32	2	127.0.0.1:4501	data_transfer_us	7009
ge_1000	stress_b32_run01	32	2	127.0.0.1:4501	total_us	17110
around_500_400_799	stress_b32_run01	33	0	127.0.0.1:4500	total_us	654
around_500_400_799	stress_b32_run01	34	0	127.0.0.1:4500	total_us	436
around_500_400_799	stress_b32_run01	59	0	127.0.0.1:4500	total_us	402
around_500_400_799	stress_b32_run01	33	2	127.0.0.1:4501	response_transfer_us	492
ge_1000	stress_b32_run01	33	2	127.0.0.1:4501	total_us	1476
